ID,Action Date,Title,Vote,Meeting Body,File #
1,,,,,
2,10/11/2024,"Resolution authorizing the Office of the Mayor and the Department of Homelessness and Supportive Housing to solicit donations from various private entities and organizations to support the expansion of temporary shelter and other homeless services to support people experiencing homelessness, notwithstanding the Behested Payment Ordinance.",Aye,Government Audit and Oversight Committee,240883
3,10/11/2024,"Resolution authorizing the Office of the Mayor and the Department of Homelessness and Supportive Housing to solicit donations from various private entities and organizations to support the expansion of temporary shelter and other homeless services to support people experiencing homelessness, notwithstanding the Behested Payment Ordinance.",Aye,Government Audit and Oversight Committee,240883
4,10/11/2024,"Hearing on the Controller's report on the assessment of invoices reviewed under a grant agreement between the San Francisco Police Department and San Francisco SAFE (SF SAFE); and requesting the Controller's Office, San Francisco Police Department, Mayor's Office of Economic Workforce Development, and SF SAFE Board of Directors to report.",Aye,Government Audit and Oversight Committee,240067
5,10/8/2024,"Ordinance amending the Planning Code and Zoning Map to establish the 555 9th Street Special Sign District encompassing the real property consisting of Assessor’s Parcel Block No. 3781, Lot No. 003, and to modify sign controls for the existing shopping center; affirming the Planning Department’s determination under the California Environmental Quality Act; making findings of consistency with the General Plan, and the eight priority policies of Planning Code, Section 101.1; and making findings of public necessity, convenience, and welfare under Planning Code, Section 302.",Aye,Board of Supervisors,240438
6,10/8/2024,"Ordinance amending the Building Code to excuse the requirement for professionally prepared architectural drawings for building permits to change certain use designations that do not increase occupant load or occupancy class, or include alterations; and affirming the Planning Department’s determination under the California Environmental Quality Act.",Aye,Board of Supervisors,240798
7,10/8/2024,"Ordinance amending the Administrative Code to expand the San Francisco Public Utilities Commission’s (SFPUC) Social Impact Partnership Program by requiring that all covered contracts that include a Social Impact commitment, including those contracts that were solicited before April 22, 2023, increase such commitment upon amendment or modification of the contract and by removing the minimum threshold for applicable amendments or modifications.",Aye,Board of Supervisors,240808
8,10/8/2024,"Ordinance retroactively authorizing the Office of Economic and Workforce Development to accept and expend a grant in the amount of $14,000,000 from the California Economic Development Department for the California Jobs First Catalyst Program, for the grant period of May 1, 2024, through September 30, 2026; and exempting the California Jobs First Catalyst Program subgrants from the grantmaking requirements under Administrative Code, Chapter 21G, and all other provisions in the Administrative, Environment, and Labor and Employment Codes imposing obligations or restrictions on subgrantees related",Aye,Board of Supervisors,240842
9,10/8/2024,"Ordinance authorizing the Department of Public Health to amend an existing grant to Planned Parenthood Northern California by increasing the not to exceed amount by $171,000 for a total not to exceed amount of $571,000 to fund security personnel to support access to family planning and other sexual and reproductive healthcare services, with no changes to the grant term of April 1, 2023, through March 31, 2025; and waiving the competitive solicitation requirements in the Administrative Code.",Aye,Board of Supervisors,240930
10,10/8/2024,"Ordinance amending the Police Code to 1) prohibit persons from promoting a Vehicle Sideshow or preparations for such a sideshow; 2) prohibit persons from assembling together to obstruct the streets, sidewalks, highways, other public right-of-ways, off-street parking facilities, or private property in connection with a Vehicle Sideshow or preparations for such a sideshow; 3) prohibit persons from knowingly being present at a Vehicle Sideshow or preparations for such a sideshow for purposes of participating in the Vehicle Sideshow; 4) prohibit persons present at a Vehicle Sideshow or preparation",Aye,Board of Supervisors,240844
11,10/8/2024,"Resolution authorizing the General Manager of the San Francisco Public Utilities Commission to execute Amendment No.1 to Contract No. PRO.0138.C with AECOM Technical Services, Inc., increasing the contract by $9,000,000 for a total not to exceed amount of $20,000,000 with no change to the term of April 16, 2020, through April 15, 2031, to continue providing planning, design, and engineering support of improvements to various dam and reservoir facilities, pursuant to Charter, Section 9.118(b).",Aye,Board of Supervisors,240827
12,10/8/2024,"Resolution approving the Contract Amendment between the City, acting by and through the Office of Contract Administration (OCA), and W.W. Grainger, Inc. for the purchase of Industrial Supplies by City departments, increasing the amount by $25,000,000 for a total not to exceed amount of $32,000,000 with no changes to the term of two years, nine months and 27 days from January 12, 2024, through November 8, 2026; and to authorize OCA to enter into amendments or modifications to the Amendment that do not materially increase the obligations or liabilities to the City and are necessary to effectuate",Aye,Board of Supervisors,240838
13,10/8/2024,"Resolution authorizing the Sheriff’s Office to execute a Third Amendment to the existing Agreement with ARAMARK Correctional Services, LLC (ARAMARK), for jail food services to exercise the final option to extend the contract term for 12 months from November 1, 2024, for a total term of November 1, 2018, through October 31, 2025; and to increase the not to exceed contract amount from $20,000,000 to $24,783,723.",Aye,Board of Supervisors,240862
14,10/8/2024,"Resolution approving Contract Amendment No. 4 to the agreement between the City, acting by and through the Office of Contract Administration, and Golden Gate Petroleum for the provision of renewable diesel, increasing the contract amount by $15,595,000 for a total not to exceed amount of $102,345,000 and extending the duration by eight months, for a total term of six years and one month, from June 1, 2019, through June 30, 2025; authorizing the Office of Contract Administration to further amend the agreement, if necessary, increasing the contract amount up to a maximum not to exceed amount of",Aye,Board of Supervisors,240864
15,10/8/2024,"Resolution approving Contract Amendment No. 2 to the agreement between City, acting by and through the Office of Contract Administration, and Mansfield Oil Company of Gainesville, Inc. for the provision of gasoline, increasing the contract amount by $7,538,000 for a total not to exceed amount of $17,513,000 and extending the duration by seven months and 14 days, for a total term of one year, seven months, and 14 days, from November 17, 2023, through June 30, 2025; authorizing the Office of Contract Administration to further amend the agreement, if necessary, increasing the contract amount up t",Aye,Board of Supervisors,240865
