ID,File #,Action Date,Title,Vote,Meeting Body
0,,,,,
1,230873.0,11/2/2023,"Resolution approving the Memorandum of Understanding (MOU) between the Friends and Foundation of the San Francisco Public Library and the San Francisco Public Library to establish roles and responsibilities of each party for purposes of fundraising, enhancing operations, and capital projects for a term of 10 years effective upon approval of this Resolution; and to authorize the San Francisco Public Library to enter into amendments or modifications of the MOU prior to its final execution by all parties that do not materially increase the obligations or liabilities to the City and are necessary",Aye,Government Audit and Oversight Committee
2,231100.0,11/2/2023,"Hearing to receive and review external auditors' Annual Comprehensive Financial Reports (ACFR), Single Audit, and Management Letters, if any, related to the City audit for Fiscal Year (FY) June 30, 2021 and June 30, 2022; to present their audit plan for FY2022-2023 as required under Charter, Section 9.117; and requesting the City's external auditors Macias Gini & O’Connell to report.",Aye,Government Audit and Oversight Committee
3,230728.0,11/2/2023,"Hearing on the 2022-2023 Civil Grand Jury Report, entitled ""Time to Get to Work: San Francisco's Hiring Crisis.""",Aye,Government Audit and Oversight Committee
4,230725.0,11/2/2023,"Hearing on the 2022-2023 Civil Grand Jury Report, entitled ""Not Making the Grade: San Francisco's Shortage of Credentialed Teachers""",Aye,Government Audit and Oversight Committee
5,230727.0,11/2/2023,"Resolution responding to the Presiding Judge of the Superior Court on the findings and recommendations contained in the 2022-2023 Civil Grand Jury Report, entitled ""Taking Care of Business: San Francisco's Plan to Save its Small Businesses;"" and urging the Mayor to cause the implementation of accepted findings and recommendations through her department heads and through the development of the annual budget.",Aye,Government Audit and Oversight Committee
6,230726.0,11/2/2023,"Hearing on the 2022-2023 Civil Grand Jury Report, entitled ""Taking Care of Business: San Francisco's Plan to Save its Small Businesses""",Aye,Government Audit and Oversight Committee
7,230613.0,11/2/2023,"Hearing to review the economic impact, potential tax revenue loss, and City budget consequence of downtown business closures; and requesting the Controller to report.",Aye,Government Audit and Oversight Committee
8,230727.0,11/2/2023,"Resolution responding to the Presiding Judge of the Superior Court on the findings and recommendations contained in the 2022-2023 Civil Grand Jury Report, entitled ""Taking Care of Business: San Francisco's Plan to Save its Small Businesses;"" and urging the Mayor to cause the implementation of accepted findings and recommendations through her department heads and through the development of the annual budget.",Aye,Government Audit and Oversight Committee
9,231018.0,10/26/2023,"Resolution determining that the person-to-person, premise-to-premise transfer of a Type-48 on-sale general public premises liquor license to 7682 LLC, to do business as Fig & Thistle, located at 313 Ivy Street (District 5), will serve the public convenience or necessity of the City and County of San Francisco, in accordance with California Business and Professions Code, Section 23958.4; and requesting that the California Department of Alcoholic Beverage Control impose conditions on the issuance of the license.",Aye,Public Safety and Neighborhood Services Committee
