ID,File #,Action Date,Title,Vote,Meeting Body
0,,,,,
1,231008.0,10/30/2023,Ordinance amending the Administrative Code to require the Chief of Police to adopt a foot and bike patrol strategy for the Police Department.,Aye,Rules Committee
2,230985.0,10/30/2023,"Charter Amendment (Third Draft) to amend the Charter of the City and County of San Francisco to define “Full-Duty Sworn Officers” for purposes of establishing minimum staffing levels for sworn officers of the Police Department; and, contingent upon the Controller’s certification that a future tax measure passed by the voters will generate sufficient additional revenue to fund the cost of employing Full-Duty Sworn Officers at specified minimum staffing levels and the minimum amount necessary to implement a police staffing fund: 1) set the Minimum Staffing Number for five fiscal years beginning",Aye,Rules Committee
3,230985.0,10/30/2023,"Charter Amendment (Third Draft) to amend the Charter of the City and County of San Francisco to define “Full-Duty Sworn Officers” for purposes of establishing minimum staffing levels for sworn officers of the Police Department; and, contingent upon the Controller’s certification that a future tax measure passed by the voters will generate sufficient additional revenue to fund the cost of employing Full-Duty Sworn Officers at specified minimum staffing levels and the minimum amount necessary to implement a police staffing fund: 1) set the Minimum Staffing Number for five fiscal years beginning",No,Rules Committee
4,231008.0,10/30/2023,Ordinance amending the Administrative Code to require the Chief of Police to adopt a foot and bike patrol strategy for the Police Department.,Aye,Rules Committee
5,231018.0,10/26/2023,"Resolution determining that the person-to-person, premise-to-premise transfer of a Type-48 on-sale general public premises liquor license to 7682 LLC, to do business as Fig & Thistle, located at 313 Ivy Street (District 5), will serve the public convenience or necessity of the City and County of San Francisco, in accordance with California Business and Professions Code, Section 23958.4; and requesting that the California Department of Alcoholic Beverage Control impose conditions on the issuance of the license.",Aye,Public Safety and Neighborhood Services Committee
6,231018.0,10/26/2023,"Resolution determining that the person-to-person, premise-to-premise transfer of a Type-48 on-sale general public premises liquor license to 7682 LLC, to do business as Fig & Thistle, located at 313 Ivy Street (District 5), will serve the public convenience or necessity of the City and County of San Francisco, in accordance with California Business and Professions Code, Section 23958.4; and requesting that the California Department of Alcoholic Beverage Control impose conditions on the issuance of the license.",Aye,Public Safety and Neighborhood Services Committee
7,230866.0,10/26/2023,"Ordinance amending the Health Code to require that sites that collect medical specimens on behalf of clinical laboratories partner with either a governmental entity, a licensed health care provider located in the City, or an educational or academic institution, establish hygiene, sanitation, and privacy standards, and adhere to the Health Insurance Portability and Accountability Act; and providing that a violation of the specimen collection standards is a public health nuisance subject to an administrative penalty that may be imposed by the Department of Public Health.",Aye,Public Safety and Neighborhood Services Committee
8,230985.0,10/23/2023,"Charter Amendment (Third Draft) to amend the Charter of the City and County of San Francisco to define “Full-Duty Sworn Officers” for purposes of establishing minimum staffing levels for sworn officers of the Police Department; and, contingent upon the Controller’s certification that a future tax measure passed by the voters will generate sufficient additional revenue to fund the cost of employing Full-Duty Sworn Officers at specified minimum staffing levels and the minimum amount necessary to implement a police staffing fund: 1) set the Minimum Staffing Number for five fiscal years beginning",Aye,Rules Committee
9,230985.0,10/23/2023,"Charter Amendment (Third Draft) to amend the Charter of the City and County of San Francisco to define “Full-Duty Sworn Officers” for purposes of establishing minimum staffing levels for sworn officers of the Police Department; and, contingent upon the Controller’s certification that a future tax measure passed by the voters will generate sufficient additional revenue to fund the cost of employing Full-Duty Sworn Officers at specified minimum staffing levels and the minimum amount necessary to implement a police staffing fund: 1) set the Minimum Staffing Number for five fiscal years beginning",Aye,Rules Committee
