ID,File #,Action Date,Title,Vote,Meeting Body
0,,,,,
1,231008.0,10/30/2023,Ordinance amending the Administrative Code to require the Chief of Police to adopt a foot and bike patrol strategy for the Police Department.,Aye,Rules Committee
2,230985.0,10/30/2023,"Charter Amendment (Third Draft) to amend the Charter of the City and County of San Francisco to define “Full-Duty Sworn Officers” for purposes of establishing minimum staffing levels for sworn officers of the Police Department; and, contingent upon the Controller’s certification that a future tax measure passed by the voters will generate sufficient additional revenue to fund the cost of employing Full-Duty Sworn Officers at specified minimum staffing levels and the minimum amount necessary to implement a police staffing fund: 1) set the Minimum Staffing Number for five fiscal years beginning",Aye,Rules Committee
3,230985.0,10/30/2023,"Charter Amendment (Third Draft) to amend the Charter of the City and County of San Francisco to define “Full-Duty Sworn Officers” for purposes of establishing minimum staffing levels for sworn officers of the Police Department; and, contingent upon the Controller’s certification that a future tax measure passed by the voters will generate sufficient additional revenue to fund the cost of employing Full-Duty Sworn Officers at specified minimum staffing levels and the minimum amount necessary to implement a police staffing fund: 1) set the Minimum Staffing Number for five fiscal years beginning",Aye,Rules Committee
4,231008.0,10/30/2023,Ordinance amending the Administrative Code to require the Chief of Police to adopt a foot and bike patrol strategy for the Police Department.,Aye,Rules Committee
5,230985.0,10/23/2023,"Charter Amendment (Third Draft) to amend the Charter of the City and County of San Francisco to define “Full-Duty Sworn Officers” for purposes of establishing minimum staffing levels for sworn officers of the Police Department; and, contingent upon the Controller’s certification that a future tax measure passed by the voters will generate sufficient additional revenue to fund the cost of employing Full-Duty Sworn Officers at specified minimum staffing levels and the minimum amount necessary to implement a police staffing fund: 1) set the Minimum Staffing Number for five fiscal years beginning",No,Rules Committee
6,230985.0,10/23/2023,"Charter Amendment (Third Draft) to amend the Charter of the City and County of San Francisco to define “Full-Duty Sworn Officers” for purposes of establishing minimum staffing levels for sworn officers of the Police Department; and, contingent upon the Controller’s certification that a future tax measure passed by the voters will generate sufficient additional revenue to fund the cost of employing Full-Duty Sworn Officers at specified minimum staffing levels and the minimum amount necessary to implement a police staffing fund: 1) set the Minimum Staffing Number for five fiscal years beginning",No,Rules Committee
7,230985.0,10/23/2023,"Charter Amendment (Third Draft) to amend the Charter of the City and County of San Francisco to define “Full-Duty Sworn Officers” for purposes of establishing minimum staffing levels for sworn officers of the Police Department; and, contingent upon the Controller’s certification that a future tax measure passed by the voters will generate sufficient additional revenue to fund the cost of employing Full-Duty Sworn Officers at specified minimum staffing levels and the minimum amount necessary to implement a police staffing fund: 1) set the Minimum Staffing Number for five fiscal years beginning",Aye,Rules Committee
8,231008.0,10/23/2023,Ordinance amending the Administrative Code to require the Chief of Police to adopt a foot and bike patrol strategy for the Police Department.,Aye,Rules Committee
9,230987.0,10/23/2023,"Charter Amendment (First Draft) to amend the Charter of the City and County of San Francisco to establish within the Charter the Department of Emergency Management, the position of the Director of the Department, and the Director’s qualifications and appointing authority; at an election to be held on March 5, 2024.",Aye,Rules Committee
