politician,position
aaron-peskin,"{
    'name': 'Supervisor Peskin',
    'position': 'An enduring presence in San Francisco politics, Supervisor Peskin was first elected to the Board in 2000 as part of the progressive vanguard seeking to check the centralized power wielded by Mayor Willie Brown. A prolific legislator and long-time power broker, Peskin has spent decades leveraging his political power toreduce the mayor\'s powerand to obstruct the meaningful construction of housing in the city.',
    'affordable_housing_development': 0.1,
    'tenant_protections': 0.3,
    'homelessness_and_supportive_housing': 0.2,
    'faster_permitting_process_and_bureaucracy': 0.1,
    'land_use_and_zoning_reform': 0.1
}"
ahsha-safai,"{
    'name': 'Supervisor Safaí',
    'position': ""Here's where Supervisor Safaí stands on the issues: Housing As one of the city's more pro-housing supervisors, Safaí has generally supported housing production, includinginitiativestospeed up the city's approval process. He has said that he's focused on the 'missing middle' of San Francisco - people who make too much to qualify for low-income housing but who make too little to afford the units priced at the full market rate. But Safaí has sometimes opposed housing initiatives, too, like when heblocked developmentof 1,300 units--350 of which would have been affordable at lower income levels--at the request of acorruptnon-profit called TODCO. He has also indicated that hemay opposemodular housing--affordable pre-made housing that can be constructed on-site--unless labor interests can be appeased. Some unionsopposemodular housing because the process doesn't require as much high-cost labor to build. As theformer political director for SEIU 87, the San Francisco Janitors Union, Safaí has strong ties to labor groups, which have historicallysupportedhim."",
    'affordable_housing_development': .7,
    'tenant_protections': .5,
    'homelessness_and_supportive_housing': .6,
    'faster_permitting_process_and_bureaucracy': .8,
    'land_use_and_zoning_reform': .6
}"
catherine-stefani,"{
    'name': 'Supervisor Stefani',
    'position': ""Supervisor Stefani's top priorities include: Gun control An ardent supporter of common-sense gun control, Stefani has repeatedlypointed outthat we can do more to 'take guns out of the hands of people who are a danger to themselves or others.' Stefani sponsored legislation proposing a ban on ghost guns in San Francisco, the first of its kind in California. Ghost guns are firearms that can be purchased in individual pieces online and assembled at home, bypassing background check requirements - a workaround thatStefani called a 'massive loophole.'After Stefani's legislation passed in San Francisco, the initiative spread and became a statewide ban. Stefani was also a leader in the local chapter of Moms Demand Action for Gun Sense in America, and continues to work with the organization. Public safety and policing Stefani, who chairs the Board of Supervisors' Public Safety and Neighborhood Services Committee, has prioritized adequately staffing the San Francisco Police Department. To address growing staffing shortfalls, she joined 9 other supervisors in April to increase police salaries. Stefani meets regularly with SFPD and publicly supports their efforts, andhas told the Chroniclethat her constituents are begging for more police. Nonprofit oversight and accountability San Francisco has outsourced many key government functions to nonprofit groups, leading to repeated problems withcorruption,mismanagement, andwaste. After the city Controller's Office publishedan auditthat called out problems with how nonprofits' success is measured, Stefaniasked the City Attorney's officeto prepare legislation to standardize success and performance metrics. Stefani has also led the Board of Supervisors in investigating theft and corruption by nonprofits,noting her 'serious concerns'with how the city manages its nonprofit contracts. Supporting small businesses 'For me, small businesses just really represent the fabric of who we are in San Francisco,' Stefanihas said. In the midst of COVID pandemic lockdowns, Stefani tackled what she called 'impediments'' to small businesses staying afloat. These efforts included co-sponsoring theShared Spaces Program(restaurant parklets) andauthoring legislationto reduce fees for small businesses, stating that the city needs to 'stop viewing small businesses as ATMs.' Affordable housing Stefani is a proponent of increasing housing for people of all income levels, including improving city policies tomaximize production of affordable housing. As discussed below, she has repeatedly followed through with key votes in favor of housing, and to help projects succeed despite opposition."",
    'affordable_housing_development': 1,
    'tenant_protections': 0.5,
    'homelessness_and_supportive_housing': 0.5,
    'faster_permitting_process_and_bureaucracy': 0.7,
    'land_use_and_zoning_reform': 0.7
}"
connie-chan,"{
    'name': 'Supervisor Chan',
    'position': 'Supervisor Chanhas stated thatshe would like to see changes in small business support, accountability in city governance, homelessness, transit, support for working families and energy infrastructure. In practice, Chan has been a member of theBoard\'s progressive blocand a key opponent of new housing development and transportation reform.',
    'affordable_housing_development': 0.1,
    'tenant_protections': 0.2,
    'homelessness_and_supportive_housing': 0.7,
    'faster_permitting_process_and_bureaucracy': 0.3,
    'land_use_and_zoning_reform': 0.1
}"
dean-preston,"{
    'name': 'Supervisor Preston',
    'position': ""Here's where Supervisor Preston stands on the issues:: Against Homebuilding Preston has routinely blocked, opposed, or delayed new home construction, including both market-rate developments and subsidized units. As a rule of thumb, he supports housing only if it is built by government, controlled by government, and subject to rent control. He will oppose other housing, although his stated reasons for opposition change depending on the project. For example, Preston has opposed homebuilding on subjective aesthetic grounds, claiming a project was too big and too modern for his 'intimate, historic neighborhood.' He has also demanded that home builders market50% of units at below-market 'affordable' prices—a figure that would make projects infeasible to build. He delayed upzoning a transit-rich area in his district to conduct a 'race and equity study' thatnever happened. And he fought the construction of newsubsidized, affordablehomes by opposing UCSF's plan to build workforce housing by arguingboththat the proposal wasn't big enough (didn't include enough housing) and that it was so big that it would have an undue impact on the area. Along with opposing individual homebuilding projects, Preston also opposes structural changes to local and state law that would make it easier to build new homes. For example, hecampaigned againsta ballot initiative to speed up affordable housing production andopposeda state bill designed to build more homes in transit-rich neighborhoods. After the city failed to meet state housing targets—in part because of his obstruction—Preston called efforts to impose state-level oversight on San Francisco's housing crisis 'absurd.' Taxation of Real Estate Preston has proposed addressing San Francisco's housing shortage by raising taxes on development—an approach that actually discourages new construction by making it more expensive. For example, he championed a newvacancy taxon unrented units, and spearheaded Proposition I (whichdoubled the transfer taxon certain real estate transactions).  Describing his philosophy, he hasstatedthat he sees higher taxes as a tool to 'address the coming wave of real estate speculation.' Public Safety Preston hasdescribedhimself as a 'strong advocate for defunding the police,' with an ultimate goal of 'prison abolition.' He was a vocal cheerleader for recalled 'progressive' district attorney Chesa Boudin, calling the recall 'idiotic' and a 'gross, racist campaign.' After acomfortable majorityof voters recalled Boudin, Preston doubled down and was theonly sitting supervisorto endorse John Hamasaki—another progressive DA candidate, whosupported defundingthe police andsuggestedpolice shouldn't confiscate guns from teenagers, who he thought might need guns for self-defense. In office, Preston has prioritized minimal policing over addressing public safety concerns. As the representative for the Tenderloin—a neighborhoodplaguedby drug abuse, tent encampments, property crime, and violence—Preston hasopposedthe Mayor's efforts to ramp up policing and enforcement, instead pushing for community ambassadors and street intervention teams. He has similarly resisted policing of property crimes. Whilerunning for officein 2019, he suggested that instead of using police to deter car break-ins, the city could have unarmed city employees intervene in thefts and justask thieves to stop. After car break-insworsenedduring his time in office, he suggested the city address the problem bytelling visitorsnot to leave anything in their cars. Open-Air Drug Dealing and Use Preston has been a vocal opponent of Mayor Breed's efforts to crack down on open air drug use, saying he was 'deeply disappointed and outraged,' and that 'arresting drug users won't help people.' Instead, Preston supportssafe consumption sitesto prevent overdoses; he's also called for 'destigmatizing addiction' as a way to reduce overdose deaths on our streets. Preston's tolerance for open-air drug dealing and drug abuse has frustrated his constituents; for example, the Tenderloin Business Coalition hascriticized himfor failing to support efforts to shut down the open air drug markets that have taken over the neighborhood, and a poll by GrowSF found that93% of San Franciscans want dealers arrested, and 69% even support arresting users. Streets and Transit Preston has worked to improve public transit, walkability, and bicycle infrastructure in San Francisco. HesupportedCar-Free JFK, which closed portions of Golden Gate Park off from cars;lobbiedGovernor Newsom and the state legislature to support the Bay Area's cash-strapped transit agencies; and, as a daily transit user,campaigned ona 'Muni Riders Bill of Rights.' However, his support for transit is sometimes hindered by a lack of practicality. For example, he has pushed for the city's MUNI system to beentirely free, which wasopposed by MUNI agency leadersalready caught betweena looming budget deficitand theirstruggle to restore full service. Research suggests thata free MUNI pilot program would be largely ineffective without a stronger recovery in the downtown area, but it would deprive MUNI of hundreds of millions dollars in needed revenue, potentially resulting in service cuts. Preston's proposal to run a free MUNI pilot was ultimatelyvetoed by Mayor Breed. When it comes to pedestrian safety, Preston can be an aggressive advocate: he recently called for San Francisco to banright turns at red lightscity-wide. But he's a vocal opponent of San Francisco's program to test out driverless vehicles,calling it'irresponsible & reckless.' Based on years of test data across millions of miles, driverless cars appear to besignificantly saferthan human drivers."",
    'affordable_housing_development': 0.2,
    'tenant_protections': 0.3,
    'homelessness_and_supportive_housing': 0.4,
    'faster_permitting_process_and_bureaucracy': 0.1,
    'land_use_and_zoning_reform': 0.2
}"
hillary-ronen,"{
    'name': 'Supervisor Ronen',
    'position': ""Here's where Supervisor Ronen stands on the issues: Street Homelessness Ronen chairs the Board of Supervisorscommitteeon homelessness, where she has overseen the city's unsuccessful efforts to reduce its unhoused population. The city's approach has been widely criticized for spending heavily, with few results. For example, in October 2023 Ronen's committee approved 'the most expensive homeless response ever,' paying$140,000 annually per vehicleto have RVs park in an empty lot. Ronen's jurisdiction includes the Mission district, which contains many homeless encampments. Ronen supported building 'tiny cabins' as a partial solution, butretreatedand said the plan might beoff the tableafter a community meeting where neighbors objected to housing homeless people nearby--even though she was 'clearly exasperated' and called the neighbor objections 'a NIMBY thing.' The cabinsmay stillbe built in her district, despite Ronen's inconsistent support. Public Safety Ronen is a frequent critic of the SFPD, although her critiques have shifted over time. In 2020, she was a leading proponent of defunding the police in San Francisco,saying: 'I want to make it clear that I believe strongly in defunding the police and reducing the number of officers on our force.' But by 2023, Ronenreversed courseand began criticizing the SFPD for not providing enough police officers: 'I've been begging this department to give the Mission what it deserves in terms of police presence, all year long. And I've been told time and time and time and time again there are no officers that we can send to Mission.' Ronen is a close ally and supporter of San Francisco's former district attorney, Chesa Boudin, who voters recalled from office in 2022. She endorsed him andraised fundsfor his campaign; opposed the recall andblamedSan Francisco's crime problems on the police force; and spoke out defiantly on the night Boudin was recalled, blaming 'billionaires' anddeclaring: 'We are not done tonight or ever, fighting our system of injustice in the United States.' Like Boudin, Ronen opposes prosecution of sex work, and has introduced legislation tolegalize prostitutionin San Francisco. Opposing Housing Development and Advocating for Price Controls Ronen has repeatedly voted to block housing development, arguing that homes are undesirable 'luxury housing' unless they're subject to price controls or rent limits. For example, in 2018, Ronenblockedthe construction of a 75-unit building on the site of a laundromat; in 2021, she joined anti-housing supervisors inblocking495 homes at the site of a Nordstrom valet parking lot; and in 2023, sheblockedconversion of a single-family home into 10 units. In opposing rules that would streamline housing production, sheexplainedher philosophy: 'I don't believe that increasing the supply of luxury housing will trickle down... It's never going to happen.' Transit An avid walker, Ronenbelievesin making SF's communities 'walkable, bikeable, and transit-oriented.' She has supported public transportation when it's practical and, in some cases, even when it's less so. For example, sheadvocated forthe 'Free Muni' program, which would have piloted making bus and light rail travel free in San Francisco. The programwas opposed bythe head of San Francisco's transit authority, who pointed out that it could overwhelm a system that was trying to recover from low ridership during the COVID-19 pandemic. Reports suggested that the transit authority was alsoconcernedthat the city's buses would become 'rolling homeless shelters,' leading to a 'Muni Death Spiral.' The Free Muni pilot was passed by the Board of Supervisors before beingvetoedby Mayor London Breed."",
    'affordable_housing_development': 0.2,
    'tenant_protections': 0.6,
    'homelessness_and_supportive_housing': 0.8,
    'faster_permitting_process_and_bureaucracy': 0.3,
    'land_use_and_zoning_reform': 0.2
}"
joel-engardio,"{
    'name': 'Supervisor Engardio',
    'position': ""Supervisor Engardio's top priorities include: Shutting down the fentanyl drug marketsRecruiting high-quality candidates to solve SFPD's officer shortageImproving our public schools by restoring merit admissions at Lowell and offering more advanced placement classesAuditing the city's $14B budget to root out corruption and wasteful spendingLowering the barriers to entrepreneurship by cutting bureaucratic red tapeMaking it easier to build more housing at all income levels by reforming byzantine permitting rules"",
    'affordable_housing_development': .7,
    'tenant_protections': .2,
    'homelessness_and_supportive_housing': .2,
    'faster_permitting_process_and_bureaucracy': .8,
    'land_use_and_zoning_reform': .7
}"
matt-dorsey,"{
    'name': 'Supervisor Dorsey',
    'position': 'Supervisor Dorsey has pointed to the following as issues he cares about: Housing A strong supporter of affordable housing, Dorsey hasrepeatedly emphasizedhis support for building housing at all income levels in San Francisco. At the time of his appointment to the Board, he described the role of D6 Supervisor as ""a forceful advocate for the promise of authentically progressive urbanism"" and noted that he was ""committed to removing constraints and barriers that make building housing more difficult."" Dorsey vocally supported the pro-housing Proposition D, andvoted againstan ordinance that would have removed fast-track approval for certain developments. He hasnotedthat ""SF is the slowest jurisdiction in the state to move housing projects to construction."" In April of 2023, Dorseyintroduced an ordinanceto reduce fees for projects seeking to convert vacant office buildings into housing. Transportation Dorsey represents a transit-heavy district that includes the Salesforce Transit Center, the SF Caltrain terminus, and the SF side of the Bay Bridge. He haspointed outthat his district has the most to lose if the city takes actions that threaten state-level funding for transportation, including—importantly—if the city loses funding by failing to meet California\'s requirements to build additional housing. Dorseydoesn\'t own a car, and commutes by taking public transit, biking, or walking. Dorseysupportedkeeping JFK Drive car-free andco-sponsoredthe ordinance to extend Great Highway\'s closure to cars on weekends. He hastweeted supportfor incentives for e-bike programs, as a way of reducing emissions. Public safety and police reform Dorsey\'swebsitetouts his support for ""investing in public safety resources so people can feel safe in their communities."" Before his appointment to the Board, Dorsey served as the Director of Strategic Communications for the San Francisco Police Department, and as a Supervisor he has advocated for a better-staffed and more effective police force. Dorsey proposed (unsuccessfully) a carve out to San Francisco\'s sanctuary city policy to allow the SFPD to cooperate with federal authorities to deport suspected fentanyl dealers. He voted to allow SFPD to use private video camera footage, supported funding for police overtime and, with Supervisor Stefani, introduced a ballot measure to establish mandated staffing levels and funding for the police force. Addiction As the first elected Supervisor in active recovery for substance abuse, Supervisor Dorsey has been a major advocate for better solutions for addiction. With Supervisors Mandelman and Stefani, Dorseyunveiled the San Francisco Recovers plan,an ambitious proposalto tackle drug dealing, addiction, and drug-related deaths through a coordinated response across multiple city agencies. Dorseytoured safe injection sitesin New York City, alongside Supervisor Hillary Ronen.',
    'affordable_housing_development': 1,
    'tenant_protections': 0.5,
    'homelessness_and_supportive_housing': 0.7,
    'faster_permitting_process_and_bureaucracy': 1,
    'land_use_and_zoning_reform': 0.8
}"
myrna-melgar,"{
    'name': 'Supervisor Melgar',
    'position': ""Here's where Supervisor Melgar stands on the issues: Public safety Melgar has proposed firing all police officers without cause and rebuilding the department from the ground up. Asshe put it, she 'support[s]disbanding the SFPD and requiring officers to reapply to a newly constructed, less violent police force.' Melgaropposedrecalling former DA Chesa Boudin. And like Boudin, she has opposed cracking down on fentanyl dealing and open-air drug abuse on the city's streets. Sharing her perspective, she told the SF Chronicle thatshe doesn't view drug tourism as a concern: 'People have come to San Francisco to do drugs always. This is not new.' She expressed concern with overdose deaths, but also worried that enforcing drug laws is 'criminalizing people.' Melgar has been particularly focused on protecting drug dealers who enter the country illegally. As the Chroniclereported in extensive detail, many dealers are undocumented immigrants from Honduras who come here specifically to sell drugs on our streets. They can't be deported because San Francisco is a sanctuary city (i.e., the city doesn't cooperate with federal immigration authorities). And they exploit a California law that allows defendants to claim they were 'trafficked': dealers haverepeatedly escaped convictionby arguing that they were under the control of coyotes or cartels, so they shouldn't be held responsible for their actions. Supervisor Dorsey proposed addressing this by creating an exception to the city's sanctuary laws that would allow fentanyl dealers to be deported. Melgar voted against the proposal, which shecompared to Nazi Germany and called 'totally counter to our San Francisco values.'She thenled a protestagainst the proposal on the steps of City Hall. Housing Melgarcampaignedas a pro-housing candidate, and housing advocates hoped that she would use her experience as a leader in the city's Department of Building Inspections and Planning Department to combat the city's housing shortage. Unfortunately, she has repeatedly voted to block housing, including a controversial vote to block 495 units ofhousing on a valet parking lot(24% of which would have been 'affordable' housing priced below market rates), and a vote to blockconverting a single-family homeinto 10 units, among others. On the positive side, she has supported measures to make it easier for homeowners to build accessory dwelling units, and has proposed allowing the division of certain large homes in her neighborhood into smaller units. Transportation Melgar has identified transportation as one of her top priorities, and has generally voted in favor of public transportation. Shesupportedkeeping JFK Drive car-free and reportedlybikes to work. But she also favors drivers over pedestrians and cyclists at times; for example, sheopposedextending the Great Highway's closure to cars on weekends. Homelessness Melgar identifies homelessness as a top priority, but she has not been a leader on homeless issues or proposed meaningful fixes to the problem. Homelessness hasgrown in her districtsince she took office (despitefalling in SFas a whole). Promotion of progressive candidates Melgar has promised to prioritize voting for 'the most progressive candidate always,' as long as the candidate also meets her racial and gender requirements. She has carried this out in office, nominating far-left supervisors Shamann Walton and Connie Chan for Board of Supervisors President, and opposing the recalls of far-left officials Alison Collins and Gabriela Lopez (who were recalled from the SF School Board) and Chesa Boudin (who was recalled as SF District Attorney). In choosing what candidates to support for public office, Melgar has promised to prioritize a candidate's race and gender above other considerations, including what those candidates actually believe. In awritten statementseeking the endorsement of a local political club, she described her 'system for endorsements': I will support the most progressive candidate always, except if that candidate is a cis hetero white man, in which case I will instead support in this order, the most progressive:Black manBlack womanPerson of ColorGay personWomanIf a cis hetero white progressive man is running against any of the above or a white cis hetero woman, I will make no endorsement."",
    'affordable_housing_development': .4,
    'tenant_protections': .6,
    'homelessness_and_supportive_housing': .5,
    'faster_permitting_process_and_bureaucracy': .4,
    'land_use_and_zoning_reform': .6
}"
rafael-mandelman,"{
    'name': 'Supervisor Mandelman',
    'position': ""Here's where Supervisor Mandelman stands on the issues: Mental Health & Homelessness Mandelman has witnessed the mental health and homelessness crisis firsthand throughhis mother, who suffered with both, shaping his views on state-sponsored interventions and conservatorship. In early 2020, shortly before the pandemic began, Mandelman and Mayor Breed announced that the cityacquiredtwo mental health facilities, in NoPa and the Mission. Mandelman has called for more court-ordered mental health treatment,noting: 'There are unhoused people who simply need a home, and then there are people who really need more than that. We need to do a better job as a county of trying to make all of those levels of care available. But we also need to be pushing on the state to help fund that.' Although the city implemented a statepilot programin 2019, by early 2022only two peoplehad been placed under conservatorship. Mandelman has also advocated for moving people from tent encampments to city-provided shelter (in contrast to the city's typical approach of leaving people in tents until they receive 'permanent supportive housing'). Calling the current homelessness experience 'inhumane' and 'irrational,' in early 2022, Mandelman introduced his'A Place for All' initiative, requiring the city to provide shelter to everyone willing to accept it. He alsosupports effortsto clarify that those who refuse shelter cannot be considered 'involuntarily homeless,' which would allow the city to remove their tents from public spaces. The city's encampments,he said, 'are dangerous for the people who are in them and terrible for the people who are trying to live and work in those neighborhoods . . . . We have hundreds of people a year dying of overdoses.' Housing Mandelman claims to be a 'pro-housing voice,' andcampaigned on'address[ing]the housing crisis,' but has repeatedly voted to block housing in San Francisco. He voted to block building housing on aNordstrom valet parking lot, which included 24% affordable units, and voted againstconverting a single-family homeinto 10 units. He joined arguably San Francisco's most anti-housing supervisor, Aaron Peskin, in sponsoring legislation that--had it not failed--could havedisastrously limitedhousing development. After a host of officials and builders came out against the 'terrifying' legislation, even Peskin acknowledged that the proposal was a failure. Mandelman alsoopposedSB50, Senator Wiener's proposal to increase housing density in areas around public transit stops. Mandelman did try to support housing production with atwo-part proposalto both legalize building multi-unit fourplexes and to make it harder to build large single-family homes--the idea being to promote more small units, which would be more affordable. But other supervisors amended and watered down the bill and Mayor Breed eventuallyvetoedit, stating that in its final form it would interfere with a pro-housing state law and actually hurt housing production. Public Safety Mandleman has been a moderating voice on public safety issues, resisting the Board of Supervisors's most extreme anti-law-enforcement tendencies. He wasa relative voice of reasonduring the board's effort to defund the police in 2020, pushing back on supervisors who wanted to cancel all police academy classes and slash police overtime. Similarly, when Supervisor Peskin passed legislation to limit the SFPD from using surveillance technologies, Mandelmanscrutinizedthe measure and, after it passed,supported different legislationthat re-authorized some use of surveillance cameras. Mandelmandeclined to take a public positionon the recall of former District Attorney Chesa Boudin, butpersonally votedin favor of the recall and endorsed Brooke Jenkins,the strongest candidate and the only real prosecutor running for DA, to succeed Boudin. In May 2023,Mandelman called out SFPD'slow rates of traffic citations, contributing to the city failing to meet the goals of Vision Zero that were set almost 10 years ago. 'Our streets are as deadly as ever,' he said, calling for SFPD to restore enforcement to at least the same levels as 2014. Streets & Transit Mandelman ischairof the Board of the San Francisco County Transportation Authority, which funds and plans public transit options in the city. Heled the pushfor Proposition L on the Nov. 2022 ballot, which renewed a sales tax to fund $2.6b of transit costs over 30 years. Heco-sponsoredMayor Breed's legislation to make JFK Drive, in Golden Gate Park, a permanent car-free space for use by pedestrians and cyclists."",
    'affordable_housing_development': .4,
    'tenant_protections': .3,
    'homelessness_and_supportive_housing': .9,
    'faster_permitting_process_and_bureaucracy': .5,
    'land_use_and_zoning_reform': .6
}"
